TICKER,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,Portfolio Weight,Min TE,MVO,Benchmark Weight
000413.SZ,电子器件,1,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.1570%
000402.SZ,房地产,3,1,2,1,1,3,0.0000%,0.0000%,0.0000%,0.0840%
000725.SZ,电子器件,2,3,1,1,3,2,0.0000%,0.0000%,0.0000%,0.6070%
000338.SZ,汽车制造,3,3,1,1,2,3,0.0000%,0.0000%,0.0000%,0.4290%
600050.SH,电子信息,2,3,1,3,3,1,0.0000%,0.0000%,0.0000%,0.4950%
600061.SH,化纤行业,1,2,3,2,2,1,0.0000%,0.0000%,0.0000%,0.0750%
600066.SH,汽车制造,1,1,1,1,2,3,0.0000%,0.0000%,0.0000%,0.1540%
600068.SH,建筑建材,2,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.1710%
600085.SH,生物制药,2,1,1,3,2,1,0.0000%,0.0000%,0.0000%,0.1450%
600089.SH,发电设备,2,3,2,1,2,3,0.0000%,0.0000%,0.0000%,0.2610%
600100.SH,电子信息,1,2,3,3,2,1,0.0000%,0.0000%,0.0000%,0.1780%
000001.SZ,金融行业,3,3,2,1,3,2,0.0000%,0.0000%,0.0000%,0.9540%
000002.SZ,房地产,3,2,2,1,3,3,0.0000%,0.0000%,0.0000%,1.3510%
000063.SZ,电子信息,2,3,3,2,3,3,0.0000%,0.0000%,0.0000%,0.4790%
000069.SZ,酒店旅游,3,2,1,1,2,3,0.0000%,0.0000%,0.0000%,0.2630%
000100.SZ,家电行业,2,3,3,2,2,3,0.0000%,0.0000%,0.0000%,0.2980%
000157.SZ,机械行业,2,1,1,2,2,3,0.0000%,0.0000%,0.0000%,0.1670%
000166.SZ,金融行业,2,3,2,2,3,1,0.0000%,0.0000%,0.0000%,0.2990%
000333.SZ,家电行业,3,3,2,2,3,3,0.0000%,0.0000%,0.0000%,2.0220%
000776.SZ,金融行业,1,3,3,1,3,3,0.0000%,0.0000%,0.0000%,0.3760%
000728.SZ,金融行业,2,3,3,2,1,2,0.0000%,0.0000%,0.0000%,0.1510%
600909.SH,NaN,1,3,3,3,1,2,0.0000%,0.0000%,0.0000%,0.0880%
002007.SZ,生物制药,3,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.1880%
002024.SZ,商业百货,1,3,2,2,3,1,0.0000%,0.0000%,0.0000%,0.3880%
002027.SZ,电子信息,1,3,3,2,3,2,0.0000%,0.0000%,0.0000%,0.4000%
002032.SZ,家电行业,3,1,2,3,2,2,0.0000%,0.0000%,0.0000%,0.0870%
002044.SZ,服装鞋类,3,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.2860%
002050.SZ,机械行业,2,1,2,2,2,2,0.0000%,0.0000%,0.0000%,0.1420%
002065.SZ,电子信息,1,2,2,3,1,2,0.0000%,0.0000%,0.0000%,0.1210%
002081.SZ,建筑建材,3,1,1,1,1,2,0.0000%,0.0000%,0.0000%,0.1340%
002085.SZ,汽车制造,1,1,1,2,1,3,0.0000%,0.0000%,0.0000%,0.0940%
002120.SZ,家具行业,3,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0450%
002142.SZ,金融行业,3,1,1,1,3,2,0.0000%,0.0000%,0.0000%,0.4550%
002146.SZ,房地产,3,2,2,1,2,3,0.0000%,0.0000%,0.0000%,0.1600%
002153.SZ,电子信息,3,1,2,3,1,1,0.0000%,0.0000%,0.0000%,0.0890%
002179.SZ,电子器件,1,1,2,3,2,1,0.0000%,0.0000%,0.0000%,0.1390%
002202.SZ,发电设备,3,3,3,2,2,2,0.0000%,0.0000%,0.0000%,0.2990%
603986.SH,NaN,3,1,3,3,1,1,0.0000%,0.0000%,0.0000%,0.0960%
002008.SZ,仪器仪表,3,2,3,2,2,1,0.0000%,0.0000%,0.0000%,0.2700%
002001.SZ,生物制药,2,1,2,2,2,3,0.0000%,0.0000%,0.0000%,0.1300%
000768.SZ,飞机制造,2,2,1,3,2,1,0.0000%,0.0000%,0.0000%,0.1920%
001979.SZ,NaN,3,2,2,1,2,3,0.0000%,0.0000%,0.0000%,0.4570%
000783.SZ,金融行业,1,3,3,2,2,3,0.0000%,0.0000%,0.0000%,0.2060%
000786.SZ,建筑建材,3,2,2,1,1,2,0.0000%,0.0000%,0.0000%,0.1330%
000792.SZ,农药化肥,1,3,3,1,1,3,0.0000%,0.0000%,0.0000%,0.0820%
