,symbol,open,high,low,close,pct_chg,vol,benchmark,Sector,MOM,vol_volatility_1m,volatility_1m,pe,circ_mv,dv_ratio,shibor_1m,shibor_6m,libor_1m,libor_6m,shibor_lpr_1y,index
3975,601958.SH,7.46,7.48,7.23,7.29,0.014600000000000002,205924.36,0.004651,有色金属,-0.3600000000000003,137589.55781518001,2.514912722143494,436.415,2352194.6076,2.74,4.1289,4.73,1.5797,1.96625,4.3,2018-01-31
16516,601958.SH,5.8,5.84,5.78,5.83,-0.04870000000000002,25213.71,8.800000000000001e-05,有色金属,-0.4399999999999995,23453.343553768656,1.191123314354652,105.6669,1881110.3652,2.74,4.604,5.0,0.1505,0.3225,5.77,2014-04-30
13458,601958.SH,11.35,11.76,11.25,11.48,0.1386,748118.87,-0.009044,有色金属,0.6900000000000013,122510.7926436164,1.6064367401174395,192.7013,3704141.8512,0.35,5.009,4.7795,0.17625,0.40065,5.3,2015-03-31
11627,601958.SH,7.87,8.07,7.72,7.95,0.1628,199952.69,0.00021799999999999999,有色金属,0.08000000000000007,120366.89025958965,3.077320059727154,133.4473,2565150.498,0.5,2.7645,3.2265,0.192,0.55165,4.3,2015-10-30
11246,601958.SH,8.14,8.29,7.66,7.99,0.013800000000000007,262661.4,0.0026479999999999997,有色金属,-0.4499999999999993,136527.32130425592,2.821141435660251,134.1188,2578056.9156,0.5,2.7,3.2,0.243,0.6599,4.3,2015-11-30
9839,601958.SH,7.5,7.68,7.46,7.65,-0.0234,89960.93,-0.001214,有色金属,-0.3099999999999996,91485.26786068188,1.899168502265981,726.1586,2468352.366,0.52,2.853,2.927,0.43575,0.90415,4.3,2016-04-29
8173,601958.SH,7.93,8.07,7.86,8.01,0.0375,93744.24,-0.001152,有色金属,0.29000000000000004,37518.96311551086,0.7912932452632098,760.3308,2584510.1244,0.5,2.7453,2.9,0.53378,1.256,4.3,2016-10-31
8369,601958.SH,7.66,7.74,7.66,7.72,-0.023900000000000005,34563.44,0.002742,有色金属,-0.04999999999999982,40225.09267071721,1.3053983108611753,732.8032,2490938.5968,0.52,2.741,2.887,0.53111,1.23972,4.3,2016-09-30
6466,601958.SH,7.32,7.39,7.29,7.39,-0.047599999999999996,50558.23,-0.0020210000000000002,有色金属,-0.7299999999999995,39583.92854967905,1.666366106232129,442.4015,2384460.6516,0.26,4.0237,4.3364,0.995,1.42628,4.3,2017-04-28
13320,601958.SH,16.37,16.37,15.35,15.59,0.3265,2213357.5,-0.005119,有色金属,4.23,488276.137253847,4.309679222401482,261.6911,5030276.2596,0.26,3.465,4.324,0.181,0.4079,5.3,2015-04-30
15301,601958.SH,8.53,8.71,8.52,8.6,0.019500000000000003,163304.92,0.001303,有色金属,0.41000000000000014,39664.80295403625,1.3551541425237152,155.8723,2774879.784,1.86,3.998,4.8,0.1565,0.3304,5.76,2014-09-30
8896,601958.SH,7.92,7.93,7.85,7.92,0.017700000000000004,38243.59,0.004772,有色金属,-0.22000000000000064,35124.39469800232,1.0513486576769826,751.7878,2555470.6848,0.51,2.696,2.8915,0.52489,1.2445,4.3,2016-08-31
7871,601958.SH,8.45,8.45,8.26,8.3,0.043800000000000006,192812.62,-0.007306,有色金属,-0.28999999999999915,215278.95930235085,2.891908150339354,787.8584,2678081.652,0.48,2.8697,3.0604,0.62367,1.28878,4.3,2016-11-30
10626,601958.SH,6.93,7.02,6.42,6.56,0.0386,147273.52,-0.023936000000000002,有色金属,-0.25,53851.71242147905,3.508826869482052,110.115,2116652.4864,0.61,2.8,3.022,0.4405,0.8859,4.3,2016-02-29
5947,601958.SH,7.14,7.23,7.11,7.17,0.064,83418.17,-0.000553,有色金属,0.04999999999999982,51539.63962735591,1.3219981089242054,429.2312,2313475.3548,0.48,4.4608,4.4743,1.22389,1.44767,4.3,2017-06-30
11008,601958.SH,8.45,8.48,8.25,8.28,0.040100000000000004,115333.1,-0.009075,有色金属,-0.07000000000000028,43652.6478403462,2.0209341280702833,138.9867,2671628.4432,0.48,3.002,3.2,0.4295,0.84615,4.3,2015-12-31
7129,601958.SH,8.22,8.35,8.2,8.28,0.060700000000000004,112587.98,0.001912,有色金属,0.06999999999999851,105567.2387444917,1.9208656251802618,785.9599,2671628.4432,2.27,4.08,4.196,0.78889,1.37489,4.3,2017-02-28
1972,601958.SH,6.22,6.25,6.12,6.2,-0.08237000000000001,77868.46,-0.004951,有色金属,0.16000000000000014,43056.09837172685,2.0747075040591243,186.4844,2000494.7280000001,2.27,2.72,3.207,2.11375,2.53563,4.31,2018-08-31
6255,601958.SH,6.78,6.86,6.73,6.74,-0.0897,37057.53,0.0035770000000000003,有色金属,-0.02999999999999936,15929.62225889176,1.4502974694866027,403.4893,2174731.3656,2.27,4.0763,4.4499,1.06033,1.41878,4.3,2017-05-31
16091,601958.SH,7.08,7.16,6.98,7.06,0.06269999999999999,161117.62,0.0069110000000000005,有色金属,0.15999999999999925,147959.6911071733,3.0042690874818727,127.9603,2277982.7064,2.27,5.004,4.9007,0.1552,0.3268,5.76,2014-06-30
14294,601958.SH,9.69,9.89,9.57,9.68,0.046299999999999994,141314.52,-0.013616,有色金属,0.08000000000000007,130017.1186061061,3.7388263867153775,175.447,3123353.0592,0.41,5.01,4.792,0.17125,0.3574,5.51,2015-01-30
12077,601958.SH,7.57,7.81,7.18,7.8,-0.10540000000000009,435817.38,0.007256,有色金属,-2.3999999999999995,240533.33491166597,6.213110010292693,130.9295,2516751.432,0.51,3.034,3.2645,2.30688,2.80013,4.55,2015-08-31
1376,601958.SH,6.19,6.42,6.15,6.29,0.00011099999999998264,209386.02,0.014006000000000001,有色金属,0.40000000000000036,36671.359229496215,2.194883530594325,189.1914,2029534.1676,1.96,2.689,3.298,2.30688,2.80013,4.31,2018-10-31
14936,601958.SH,7.99,8.19,7.94,8.17,-0.0491,170693.2,0.015958,有色金属,0.16999999999999993,41167.57020545351,1.4114163099522459,148.0787,2636135.7948,1.96,3.991,4.77,0.1559,0.3279,5.76,2014-10-31
2248,601958.SH,6.71,6.84,6.61,6.77,0.08625300000000001,176100.62,0.000733,有色金属,0.6099999999999994,87287.1444206935,1.5921001404667259,203.6289,2184411.1788,0.4,2.965,3.38,2.08138,2.5305,4.31,2018-07-31
13804,601958.SH,10.0,10.28,9.79,10.03,0.03909999999999998,409550.01,0.0018360000000000002,有色金属,0.8499999999999996,100574.84742825456,2.1097312625069495,181.7907,3236284.2132,0.4,5.0832,4.7846,0.173,0.3807,5.51,2015-02-27
2825,601958.SH,6.54,6.73,6.46,6.68,0.002000000000000016,88060.12,0.021218,有色金属,-0.3600000000000003,39047.05665180862,1.7967077530859636,200.9219,2155371.7392,0.63,3.905,4.296,2.0007,2.47375,4.31,2018-05-31
10872,601958.SH,6.17,6.5,6.15,6.37,-0.2304,114561.18,0.032355,有色金属,-0.8399999999999999,119704.01343214976,5.476136959572806,106.9257,2055347.0028,0.63,3.168,3.1225,0.425,0.86025,4.3,2016-01-29
16454,601958.SH,6.42,6.8,6.41,6.69,0.1604,438173.07,0.000603,有色金属,-0.08999999999999986,259553.35697629012,4.104012183217677,121.2542,2158598.3436,2.39,3.861,4.9998,0.151,0.3219,5.77,2014-05-30
2536,601958.SH,6.12,6.29,6.11,6.27,-0.056499999999999995,62152.8,0.025546000000000003,有色金属,-0.33000000000000007,32885.29921233705,2.549682088025728,188.5898,2023080.9588,0.51,4.031,4.223,2.09025,2.50125,4.31,2018-06-29
9106,601958.SH,7.9,7.92,7.74,7.79,-0.0369,103357.75,-0.005342,有色金属,-1.0200000000000005,148984.28993686714,2.7945355606968425,739.4478,2513524.8276,0.51,2.773,2.936,0.4959,1.1117,4.3,2016-07-29
16919,601958.SH,6.14,6.21,6.12,6.13,-0.029299999999999996,35436.58,-0.00263,有色金属,-0.0600000000000005,16122.225070647766,1.5808866973946007,111.1044,1977908.4972,2.61,4.617,5.0,0.152,0.3289,5.76,2014-03-31
3062,601958.SH,6.66,6.69,6.6,6.69,-0.021300000000000003,44696.34,0.000368,有色金属,-0.17999999999999972,28447.984291351622,1.4915495298511598,201.2226,2158598.3436,0.34,3.899,4.184,1.90701,2.51956,4.31,2018-04-27
6824,601958.SH,7.68,7.88,7.68,7.77,-0.06220000000000001,77193.06,0.005612000000000001,有色金属,-0.3000000000000007,28691.949314141533,1.0291184334172747,737.5494,2507071.6188,0.34,4.3501,4.35,0.98278,1.42322,4.3,2017-03-31
5125,601958.SH,8.56,8.69,8.51,8.58,-0.05250000000000001,133842.54,0.003653,有色金属,-0.13000000000000078,223649.08419098824,2.708329558971587,513.6407,2768426.5752,0.34,4.0743,4.3865,1.23222,1.506,4.3,2017-09-29
12813,601958.SH,10.93,11.8,10.1,11.78,-0.1432,555337.89,0.067147,有色金属,-4.67,286031.2800542566,5.101410466723813,197.7371,3800939.9832,0.34,3.521,3.18,0.1865,0.44485,4.8,2015-06-30
12888,601958.SH,13.98,14.38,13.4,13.99,-0.09160000000000003,548447.5,0.001411,有色金属,-0.2400000000000002,203990.99400312774,3.645104388079884,234.8338,4514019.5556,0.29,2.276,3.211,0.184,0.42465,5.05,2015-05-29
1667,601958.SH,6.29,6.33,6.27,6.32,0.020356999999999986,52173.53,0.010364,有色金属,0.16999999999999993,13528.114787690329,1.1094730088646627,190.0937,2039213.9808,1.89,2.8,3.282,2.26056,2.60388,4.31,2018-09-28
15623,601958.SH,8.1,8.58,8.08,8.45,-0.031599999999999996,224769.85,0.011686,有色金属,-0.22000000000000064,84180.45976952933,1.9161578744976089,153.1536,2726480.7180000003,1.89,4.114,4.8726,0.157,0.3299,5.76,2014-08-29
10323,601958.SH,7.61,8.05,7.59,7.86,0.19770000000000004,317568.2,0.0005639999999999999,有色金属,0.5600000000000005,90919.58848654246,3.36735396862272,131.9366,2536111.0584,0.51,2.807,2.87,0.43725,0.8997,4.3,2016-03-31
17131,601958.SH,6.3,6.34,6.22,6.33,-0.018099999999999995,54530.8,0.011541999999999998,有色金属,-0.4299999999999997,19618.76573975056,1.6234158432143015,39.131,2042440.5852,2.53,4.316,5.0,0.1555,0.3305,5.76,2014-02-28
15702,601958.SH,8.62,8.92,8.61,8.76,0.22630000000000006,389488.58,0.012162,有色金属,0.9799999999999995,272126.63040460774,3.1646283747067527,158.7723,2826505.4544,1.83,4.2,4.9,0.156,0.3345,5.76,2014-07-31
