trade_date,Ticker,Sct,Return
2017-09-29,600018.SH,交通运输,0.026600
2017-09-29,600019.SH,钢铁行业,-0.099400
2017-09-29,600009.SH,交通运输,-0.024300
2017-08-31,601018.SH,交通运输,-0.077500
2017-08-31,000156.SH,传媒娱乐,0.035700
2017-08-31,000627.SH,化工行业,-0.047300
2017-08-31,000651.SH,家电行业,-0.013400
2017-08-31,000671.SH,房地产,0.021900
2017-08-31,000686.SH,金融行业,0.041200
2017-08-31,000709.SH,钢铁行业,-0.136800
2017-08-31,000718.SH,房地产,-0.016200
2017-08-31,000725.SH,电子器件,-0.029200
2017-08-31,000728.SH,金融行业,0.099400
2017-08-31,000738.SH,飞机制造,0.034800
2017-08-31,000750.SH,金融行业,0.088000
2017-08-31,000768.SH,飞机制造,0.046700
2017-08-31,000776.SH,金融行业,0.073300
2017-08-31,000783.SH,金融行业,0.062400
2017-08-31,000792.SH,农药化肥,0.011400
2017-08-31,000793.SH,传媒娱乐,0.032600
2017-08-31,000826.SH,环保行业,0.041200
2017-08-31,000630.SH,有色金属,-0.029500
2017-08-31,000625.SH,汽车制造,-0.037800
2017-08-31,000858.SH,酿酒行业,-0.001600
2017-08-31,000623.SH,生物制药,0.003100
2017-08-31,000157.SH,机械行业,-0.008600
2017-08-31,000166.SH,金融行业,0.030900
2017-08-31,000333.SH,家电行业,-0.002300
2017-08-31,000338.SH,汽车制造,0.029900
2017-08-31,000402.SH,房地产,0.009700
2017-08-31,000413.SH,电子器件,-0.124400
2017-08-31,000415.SH,金融行业,0.001200
2017-08-31,000423.SH,生物制药,-0.026400
2017-08-31,000425.SH,机械行业,-0.051800
2017-08-31,000538.SH,生物制药,-0.010900
2017-08-31,000559.SH,汽车制造,0.015800
2017-08-31,000568.SH,酿酒行业,0.003200
2017-08-31,000839.SH,综合行业,0.146400
2017-08-31,000876.SH,农林牧渔,-0.032400
2017-08-31,002411.SH,化工行业,0.031900
2017-08-31,002142.SH,金融行业,0.008600
2017-08-31,002152.SH,电子信息,-0.014900
2017-08-31,002153.SH,电子信息,0.036600
2017-08-31,002174.SH,电子信息,-0.158800
2017-08-31,002195.SH,电子信息,0.042400
2017-08-31,002202.SH,发电设备,0.037900
2017-08-31,002230.SH,电子信息,0.201800
2017-08-31,002236.SH,仪器仪表,0.030400
2017-08-31,002241.SH,电子器件,0.123800
2017-08-31,002292.SH,传媒娱乐,0.068600
2017-08-31,002299.SH,农林牧渔,-0.023000
2017-08-31,002304.SH,酿酒行业,0.003000
2017-08-31,002310.SH,建筑建材,0.092300
2017-08-31,002352.SH,其它行业,0.037900
2017-08-31,002146.SH,房地产,-0.028900
2017-08-31,002131.SH,机械行业,-0.015000
2017-08-31,000917.SH,传媒娱乐,0.024400
2017-08-31,002081.SH,建筑建材,0.025900
2017-08-31,000938.SH,电子信息,0.058000
2017-08-31,000959.SH,钢铁行业,-0.022400
2017-08-31,000961.SH,建筑建材,-0.024200
2017-08-31,000963.SH,生物制药,0.017400
2017-08-31,000977.SH,电子信息,0.041400
2017-08-31,000983.SH,煤炭行业,0.031600
2017-08-31,001979.SH,NaN,-0.022100
2017-08-31,002007.SH,生物制药,-0.006800
2017-08-31,002008.SH,仪器仪表,0.097200
2017-08-31,002024.SH,商业百货,0.004100
2017-08-31,002027.SH,电子信息,0.056600
2017-08-31,002044.SH,服装鞋类,0.050900
2017-08-31,002049.SH,电子器件,0.130900
2017-08-31,002065.SH,电子信息,-0.021400
2017-08-31,002074.SH,发电设备,-0.169900
2017-08-31,000100.SH,家电行业,-0.025500
2017-08-31,000069.SH,酒店旅游,-0.052700
2017-08-31,000063.SH,电子信息,0.041500
2017-08-31,601229.SH,NaN,-0.041200
2017-08-31,601318.SH,金融行业,0.079100
2017-08-31,601328.SH,金融行业,0.030100
2017-08-31,601333.SH,交通运输,0.071400
2017-08-31,601336.SH,金融行业,0.085000
2017-08-31,601375.SH,NaN,0.139200
2017-08-31,601377.SH,金融行业,0.076900
2017-08-31,601390.SH,建筑建材,0.005800
2017-08-31,601398.SH,金融行业,0.071300
2017-08-31,601555.SH,金融行业,0.064600
2017-08-31,601600.SH,有色金属,0.316000
2017-08-31,601601.SH,金融行业,0.136200
2017-08-31,601607.SH,商业百货,-0.065700
2017-08-31,601608.SH,机械行业,-0.004500
2017-08-31,601611.SH,NaN,0.117200
2017-08-31,601618.SH,建筑建材,-0.013200
2017-08-31,601288.SH,金融行业,0.017900
2017-08-31,601225.SH,煤炭行业,0.029600
2017-08-31,000060.SH,有色金属,0.059400
2017-08-31,601216.SH,化工行业,0.018400
2017-08-31,601009.SH,金融行业,0.010800
2017-08-31,601021.SH,交通运输,0.098900
2017-08-31,601099.SH,金融行业,0.081000
2017-08-31,601111.SH,交通运输,0.049800
2017-08-31,601117.SH,建筑建材,-0.049000
2017-08-31,601118.SH,化工行业,0.062200
2017-08-31,601127.SH,NaN,0.029900
2017-08-31,601155.SH,NaN,-0.001400
2017-08-31,601163.SH,NaN,0.022700
2017-08-31,601166.SH,金融行业,-0.004700
2017-08-31,601169.SH,金融行业,-0.019700
2017-08-31,601186.SH,建筑建材,-0.044900
2017-08-31,601198.SH,金融行业,0.063900
2017-08-31,601211.SH,NaN,0.036500
2017-08-31,601628.SH,金融行业,0.063300
2017-08-31,601633.SH,汽车制造,-0.030500
2017-08-31,601668.SH,建筑建材,-0.027600
2017-08-31,601669.SH,建筑建材,0.011600
2017-08-31,601958.SH,有色金属,0.085400
2017-08-31,601985.SH,NaN,-0.012400
2017-08-31,601988.SH,金融行业,0.078500
2017-08-31,601992.SH,水泥行业,0.135300
2017-08-31,601997.SH,NaN,0.021800
2017-08-31,601998.SH,金融行业,-0.015800
2017-08-31,603160.SH,NaN,-0.015400
2017-08-31,603858.SH,NaN,0.040700
2017-08-31,603993.SH,NaN,0.058200
2017-08-31,000001.SH,金融行业,0.060400
2017-08-31,000002.SH,房地产,0.030200
2017-08-31,000008.SH,综合行业,0.069600
2017-08-31,000009.SH,房地产,-0.100900
2017-08-31,601939.SH,金融行业,0.038100
2017-08-31,601933.SH,商业百货,-0.001500
2017-08-31,601919.SH,交通运输,0.083800
2017-08-31,601818.SH,金融行业,-0.005700
2017-08-31,601688.SH,金融行业,0.176400
2017-08-31,601718.SH,服装鞋类,-0.016400
2017-08-31,601727.SH,发电设备,0.074300
2017-08-31,601766.SH,交通运输,0.007500
2017-08-31,601788.SH,金融行业,0.042300
2017-08-31,601800.SH,建筑建材,-0.024400
2017-08-31,601857.SH,石油行业,-0.001900
2017-08-31,601901.SH,金融行业,0.026800
2017-08-31,601866.SH,交通运输,0.042500
2017-08-31,601877.SH,发电设备,-0.020100
2017-08-31,601881.SH,NaN,0.302500
2017-08-31,601888.SH,酒店旅游,0.038100
2017-08-31,601899.SH,有色金属,0.026400
2017-08-31,002385.SH,农林牧渔,0.023500
2017-08-31,000895.SH,食品行业,0.059500
2017-08-31,002415.SH,仪器仪表,0.072700
2017-08-31,600406.SH,电子信息,-0.026400
2017-08-31,600436.SH,生物制药,-0.031500
2017-08-31,600446.SH,电子信息,0.159000
2017-08-31,600482.SH,电器行业,0.056600
2017-08-31,600489.SH,有色金属,0.022300
2017-08-31,600498.SH,电子信息,0.093400
2017-08-31,600518.SH,生物制药,0.003800
2017-08-31,600519.SH,酿酒行业,0.021700
2017-08-31,600522.SH,电子信息,0.026000
2017-08-31,600535.SH,生物制药,0.010900
2017-08-31,600547.SH,有色金属,0.026000
2017-08-31,600549.SH,有色金属,0.143800
2017-08-31,600570.SH,电子信息,0.204400
2017-08-31,600583.SH,石油行业,0.006000
2017-08-31,002424.SH,生物制药,-0.037000
2017-08-31,600415.SH,商业百货,-0.014700
2017-08-31,600383.SH,房地产,-0.026300
2017-08-31,600606.SH,房地产,-0.040600
2017-08-31,600376.SH,房地产,-0.001600
2017-08-31,600208.SH,房地产,-0.004100
2017-08-31,600221.SH,交通运输,0.006500
2017-08-31,600233.SH,服装鞋类,0.028800
2017-08-31,600256.SH,综合行业,-0.018600
2017-08-31,600271.SH,电子信息,0.028400
2017-08-31,600276.SH,生物制药,0.058200
2017-08-31,600297.SH,医疗器械,0.026400
2017-08-31,600309.SH,化工行业,0.045800
2017-08-31,600332.SH,生物制药,0.030700
2017-08-31,600340.SH,房地产,0.052000
2017-08-31,600352.SH,化工行业,0.029500
2017-08-31,600362.SH,有色金属,-0.049100
2017-08-31,600369.SH,金融行业,0.039400
2017-08-31,600372.SH,飞机制造,0.045800
2017-08-31,600373.SH,传媒娱乐,0.041200
2017-08-31,600588.SH,电子信息,0.162200
2017-08-31,600637.SH,传媒娱乐,0.025100
2017-08-31,600188.SH,煤炭行业,-0.046000
2017-08-31,600820.SH,建筑建材,0.061600
2017-08-31,600837.SH,金融行业,0.029700
2017-08-31,600886.SH,电力行业,-0.075200
2017-08-31,600887.SH,食品行业,0.128200
2017-08-31,600893.SH,飞机制造,0.017300
2017-08-31,600895.SH,开发区,0.023100
2017-08-31,600900.SH,电力行业,-0.013800
2017-08-31,600909.SH,NaN,0.166600
2017-08-31,600919.SH,NaN,-0.025000
2017-08-31,600926.SH,NaN,0.008000
2017-08-31,600958.SH,金融行业,0.042600
2017-08-31,600977.SH,NaN,-0.012900
2017-08-31,600999.SH,金融行业,0.091700
2017-08-31,601006.SH,交通运输,0.045300
2017-08-31,600827.SH,商业百货,0.022000
2017-08-31,600816.SH,金融行业,-0.100800
2017-08-31,600649.SH,供水供气,-0.031400
2017-08-31,600804.SH,电子信息,0.033100
2017-08-31,600660.SH,汽车制造,-0.010200
2017-08-31,600663.SH,房地产,0.036800
2017-08-31,600674.SH,电力行业,-0.030800
2017-08-31,600682.SH,商业百货,0.039100
2017-08-31,600685.SH,船舶制造,0.069100
2017-08-31,600688.SH,石油行业,-0.052600
2017-08-31,600690.SH,家电行业,0.019600
2017-08-31,600703.SH,电子器件,0.022700
2017-08-31,600704.SH,物资外贸,-0.012100
2017-08-31,600705.SH,金融行业,0.043300
2017-08-31,600718.SH,电子信息,0.089400
